[15:41:25.2210561] [Lua] [TajsGraphBM] prepatch[1] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.SpotLight_1.LightComponent0 intensity=160.000 indirect=1.000 specular=1.000 attenuation=7462.127 outer=80.000 inner=80.000 source=448.000 soft=0.000 length=0.000 mobility=1 cast=true
[15:41:25.2237135] [Lua] [TajsGraphBM] prepatch[12] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_196.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2239443] [Lua] [TajsGraphBM] prepatch[13] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_33.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2242062] [Lua] [TajsGraphBM] prepatch[14] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_211.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2243948] [Lua] [TajsGraphBM] prepatch[15] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_216.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2246439] [Lua] [TajsGraphBM] prepatch[16] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_41.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2249115] [Lua] [TajsGraphBM] prepatch[17] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_159.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2251346] [Lua] [TajsGraphBM] prepatch[18] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_47.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2252789] [Lua] [TajsGraphBM] prepatch[19] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_49.LightComponent0 intensity=21.000 indirect=1.000 specular=1.000 attenuation=1300.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2254811] [Lua] [TajsGraphBM] prepatch[20] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_46.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2256030] [Lua] [TajsGraphBM] prepatch[21] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_64.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2257647] [Lua] [TajsGraphBM] prepatch[22] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_2.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2259497] [Lua] [TajsGraphBM] prepatch[23] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_52.LightComponent0 intensity=21.000 indirect=1.000 specular=1.000 attenuation=1300.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2261272] [Lua] [TajsGraphBM] prepatch[24] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_226.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2265162] [Lua] [TajsGraphBM] prepatch[25] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_57.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2266760] [Lua] [TajsGraphBM] prepatch[26] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_42.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2269347] [Lua] [TajsGraphBM] prepatch[27] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_161.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2271854] [Lua] [TajsGraphBM] prepatch[28] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_104.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=700.000 outer=50.000 inner=40.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2276447] [Lua] [TajsGraphBM] prepatch[29] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_48.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2280407] [Lua] [TajsGraphBM] prepatch[30] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_0.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2282630] [Lua] [TajsGraphBM] prepatch[31] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_203.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2284613] [Lua] [TajsGraphBM] prepatch[32] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_291.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2286025] [Lua] [TajsGraphBM] prepatch[33] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_78.LightComponent0 intensity=21.000 indirect=1.000 specular=1.000 attenuation=1300.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2288945] [Lua] [TajsGraphBM] prepatch[34] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_158.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2291717] [Lua] [TajsGraphBM] prepatch[35] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_34.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2301019] [Lua] [TajsGraphBM] prepatch[36] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_165.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2303575] [Lua] [TajsGraphBM] prepatch[37] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_205.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2305622] [Lua] [TajsGraphBM] prepatch[38] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_60.LightComponent0 intensity=21.000 indirect=1.000 specular=1.000 attenuation=1300.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2306775] [Lua] [TajsGraphBM] prepatch[39] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_51.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2308868] [Lua] [TajsGraphBM] prepatch[40] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_28.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2310476] [Lua] [TajsGraphBM] prepatch[41] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_179.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2313043] [Lua] [TajsGraphBM] prepatch[42] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_191.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2314557] [Lua] [TajsGraphBM] prepatch[43] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_298.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=920.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2317256] [Lua] [TajsGraphBM] prepatch[44] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_184.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2318811] [Lua] [TajsGraphBM] prepatch[45] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_207.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2325325] [Lua] [TajsGraphBM] prepatch[46] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_27.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2327280] [Lua] [TajsGraphBM] prepatch[47] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_143.LightComponent0 intensity=50.000 indirect=1.000 specular=1.000 attenuation=1700.000 outer=75.000 inner=70.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2330726] [Lua] [TajsGraphBM] prepatch[48] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_292.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2332123] [Lua] [TajsGraphBM] prepatch[49] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_30.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2334591] [Lua] [TajsGraphBM] prepatch[50] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_174.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2336412] [Lua] [TajsGraphBM] prepatch[51] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_62.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2338895] [Lua] [TajsGraphBM] prepatch[52] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_1.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2340884] [Lua] [TajsGraphBM] prepatch[53] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_36.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2346327] [Lua] [TajsGraphBM] prepatch[54] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_170.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2350065] [Lua] [TajsGraphBM] prepatch[55] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_135.LightComponent0 intensity=50.000 indirect=1.000 specular=1.000 attenuation=1700.000 outer=75.000 inner=70.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2355632] [Lua] [TajsGraphBM] prepatch[56] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_19.LightComponent0 intensity=21.000 indirect=1.000 specular=1.000 attenuation=1300.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2358955] [Lua] [TajsGraphBM] prepatch[57] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_299.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=920.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2361483] [Lua] [TajsGraphBM] prepatch[58] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_178.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2363244] [Lua] [TajsGraphBM] prepatch[59] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_8.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2365091] [Lua] [TajsGraphBM] prepatch[60] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_172.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2366816] [Lua] [TajsGraphBM] prepatch[61] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_162.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2368964] [Lua] [TajsGraphBM] prepatch[62] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_183.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2371410] [Lua] [TajsGraphBM] prepatch[63] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_66.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2372881] [Lua] [TajsGraphBM] prepatch[64] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_160.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2374690] [Lua] [TajsGraphBM] prepatch[65] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_6.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2376138] [Lua] [TajsGraphBM] prepatch[66] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_81.LightComponent0 intensity=21.000 indirect=1.000 specular=1.000 attenuation=1300.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2378203] [Lua] [TajsGraphBM] prepatch[67] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_17.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2380076] [Lua] [TajsGraphBM] prepatch[68] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_15.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2381208] [Lua] [TajsGraphBM] prepatch[69] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_185.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2383427] [Lua] [TajsGraphBM] prepatch[70] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_199.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2398205] [Lua] [TajsGraphBM] prepatch[71] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_38.LightComponent0 intensity=33.000 indirect=1.000 specular=1.000 attenuation=2000.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2399924] [Lua] [TajsGraphBM] prepatch[72] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_18.LightComponent0 intensity=21.000 indirect=1.000 specular=1.000 attenuation=1300.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2402137] [Lua] [TajsGraphBM] prepatch[73] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_219.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
